Entity,Code,Depopulation_Risk_Score,Depopulation_Category,Super_Aged_Risk_Score,Super_Aged_Category,Actual_Depopulation_Flag,Actual_Super_Aged_Flag
Afghanistan,AFG,0.0,Low Risk,0.0,Non-Super-Aged,0,0
Albania,ALB,0.948,High Risk,0.9999,Super-Aged Expected,1,1
Algeria,DZA,0.0058,Low Risk,0.0003,Non-Super-Aged,0,0
American Samoa,ASM,0.9954,High Risk,0.0002,Non-Super-Aged,1,0
Andorra,AND,0.0436,Low Risk,1.0,Super-Aged Expected,0,1
Angola,AGO,0.0,Low Risk,0.0,Non-Super-Aged,0,0
Anguilla,AIA,0.1606,Low Risk,0.9998,Super-Aged Expected,0,1
Antigua and Barbuda,ATG,0.1595,Low Risk,0.9902,Super-Aged Expected,0,1
Argentina,ARG,0.1308,Low Risk,0.7129,Super-Aged Expected,0,0
Armenia,ARM,0.9412,High Risk,0.9929,Super-Aged Expected,1,1
Aruba,ABW,0.6943,High Risk,1.0,Super-Aged Expected,1,1
Australia,AUS,0.0416,Low Risk,1.0,Super-Aged Expected,0,1
Austria,AUT,0.7312,High Risk,1.0,Super-Aged Expected,1,1
Azerbaijan,AZE,0.0645,Low Risk,0.1705,Non-Super-Aged,0,0
Bahamas,BHS,0.1433,Low Risk,0.8222,Super-Aged Expected,0,1
Bahrain,BHR,0.0004,Low Risk,0.3183,Non-Super-Aged,0,0
Bangladesh,BGD,0.0032,Low Risk,0.0,Non-Super-Aged,0,0
Barbados,BRB,0.6145,High Risk,0.9999,Super-Aged Expected,0,1
Belarus,BLR,0.9469,High Risk,1.0,Super-Aged Expected,1,1
Belgium,BEL,0.5431,Moderate Risk,1.0,Super-Aged Expected,0,1
Belize,BLZ,0.0023,Low Risk,0.0,Non-Super-Aged,0,0
Benin,BEN,0.0001,Low Risk,0.0,Non-Super-Aged,0,0
Bermuda,BMU,0.8759,High Risk,1.0,Super-Aged Expected,1,1
Bhutan,BTN,0.0229,Low Risk,0.0009,Non-Super-Aged,0,0
Bolivia,BOL,0.0026,Low Risk,0.0,Non-Super-Aged,0,0
Bonaire Sint Eustatius and Saba,BES,0.0029,Low Risk,0.9999,Super-Aged Expected,0,1
Bosnia and Herzegovina,BIH,0.9876,High Risk,1.0,Super-Aged Expected,1,1
Botswana,BWA,0.0008,Low Risk,0.0,Non-Super-Aged,0,0
Brazil,BRA,0.1321,Low Risk,0.8198,Super-Aged Expected,0,1
British Virgin Islands,VGB,0.1176,Low Risk,0.9981,Super-Aged Expected,0,1
Brunei,BRN,0.0321,Low Risk,0.0445,Non-Super-Aged,0,0
Bulgaria,BGR,0.9806,High Risk,1.0,Super-Aged Expected,1,1
Burkina Faso,BFA,0.0001,Low Risk,0.0,Non-Super-Aged,0,0
Burundi,BDI,0.0001,Low Risk,0.0,Non-Super-Aged,0,0
Cambodia,KHM,0.0064,Low Risk,0.0,Non-Super-Aged,0,0
Cameroon,CMR,0.0,Low Risk,0.0,Non-Super-Aged,0,0
Canada,CAN,0.0717,Low Risk,1.0,Super-Aged Expected,0,1
Cape Verde,CPV,0.0626,Low Risk,0.0016,Non-Super-Aged,0,0
Cayman Islands,CYM,0.0013,Low Risk,0.9995,Super-Aged Expected,0,1
Central African Republic,CAF,0.0,Low Risk,0.0,Non-Super-Aged,0,0
Chad,TCD,0.0001,Low Risk,0.0,Non-Super-Aged,0,0
Chile,CHL,0.1281,Low Risk,0.9998,Super-Aged Expected,0,1
