entity,slug,code,year,population,source_url
Afghanistan,afghanistan,afghanistan,2024,42889085,https://worldpopulationreview.com/countries/afghanistan
Afghanistan,afghanistan,afghanistan,2025,43844111,https://worldpopulationreview.com/countries/afghanistan
Afghanistan,afghanistan,afghanistan,2026,45047069,https://worldpopulationreview.com/countries/afghanistan
Albania,albania,albania,2024,2791597,https://worldpopulationreview.com/countries/albania
Albania,albania,albania,2025,2771508,https://worldpopulationreview.com/countries/albania
Albania,albania,albania,2026,2751025,https://worldpopulationreview.com/countries/albania
Algeria,algeria,algeria,2024,46756668,https://worldpopulationreview.com/countries/algeria
Algeria,algeria,algeria,2025,47435312,https://worldpopulationreview.com/countries/algeria
Algeria,algeria,algeria,2026,48028334,https://worldpopulationreview.com/countries/algeria
American Samoa,american-samoa,american-samoa,2024,46775,https://worldpopulationreview.com/countries/american-samoa
American Samoa,american-samoa,american-samoa,2025,46029,https://worldpopulationreview.com/countries/american-samoa
American Samoa,american-samoa,american-samoa,2026,45319,https://worldpopulationreview.com/countries/american-samoa
Andorra,andorra,andorra,2024,81799,https://worldpopulationreview.com/countries/andorra
Andorra,andorra,andorra,2025,82904,https://worldpopulationreview.com/countries/andorra
Andorra,andorra,andorra,2026,83753,https://worldpopulationreview.com/countries/andorra
Angola,angola,angola,2024,37922258,https://worldpopulationreview.com/countries/angola
Angola,angola,angola,2025,39040039,https://worldpopulationreview.com/countries/angola
Angola,angola,angola,2026,40215179,https://worldpopulationreview.com/countries/angola
Anguilla,anguilla,anguilla,2024,14751,https://worldpopulationreview.com/countries/anguilla
Anguilla,anguilla,anguilla,2025,14728,https://worldpopulationreview.com/countries/anguilla
Anguilla,anguilla,anguilla,2026,14817,https://worldpopulationreview.com/countries/anguilla
Antigua And Barbuda,antigua-and-barbuda,antigua-and-barbuda,2024,93736,https://worldpopulationreview.com/countries/antigua-and-barbuda
Antigua And Barbuda,antigua-and-barbuda,antigua-and-barbuda,2025,94209,https://worldpopulationreview.com/countries/antigua-and-barbuda
Antigua And Barbuda,antigua-and-barbuda,antigua-and-barbuda,2026,94626,https://worldpopulationreview.com/countries/antigua-and-barbuda
Argentina,argentina,argentina,2024,45719495,https://worldpopulationreview.com/countries/argentina
Argentina,argentina,argentina,2025,45851378,https://worldpopulationreview.com/countries/argentina
Argentina,argentina,argentina,2026,46003734,https://worldpopulationreview.com/countries/argentina
Armenia,armenia,armenia,2024,2940070,https://worldpopulationreview.com/countries/armenia
Armenia,armenia,armenia,2025,2952365,https://worldpopulationreview.com/countries/armenia
Armenia,armenia,armenia,2026,2930915,https://worldpopulationreview.com/countries/armenia
Aruba,aruba,aruba,2024,107998,https://worldpopulationreview.com/countries/aruba
Aruba,aruba,aruba,2025,108147,https://worldpopulationreview.com/countries/aruba
Aruba,aruba,aruba,2026,108164,https://worldpopulationreview.com/countries/aruba
Australia,australia,australia,2024,26727979,https://worldpopulationreview.com/countries/australia
Australia,australia,australia,2025,26974026,https://worldpopulationreview.com/countries/australia
Australia,australia,australia,2026,27227096,https://worldpopulationreview.com/countries/australia
Austria,austria,austria,2024,9075140,https://worldpopulationreview.com/countries/austria
Austria,austria,austria,2025,9113574,https://worldpopulationreview.com/countries/austria
Austria,austria,austria,2026,9107266,https://worldpopulationreview.com/countries/austria
Azerbaijan,azerbaijan,azerbaijan,2024,10354516,https://worldpopulationreview.com/countries/azerbaijan
Azerbaijan,azerbaijan,azerbaijan,2025,10397713,https://worldpopulationreview.com/countries/azerbaijan
Azerbaijan,azerbaijan,azerbaijan,2026,10454855,https://worldpopulationreview.com/countries/azerbaijan
Bahamas,bahamas,bahamas,2024,401599,https://worldpopulationreview.com/countries/bahamas
Bahamas,bahamas,bahamas,2025,403033,https://worldpopulationreview.com/countries/bahamas
Bahamas,bahamas,bahamas,2026,404628,https://worldpopulationreview.com/countries/bahamas
Bahrain,bahrain,bahrain,2024,1611281,https://worldpopulationreview.com/countries/bahrain
Bahrain,bahrain,bahrain,2025,1643332,https://worldpopulationreview.com/countries/bahrain
Bahrain,bahrain,bahrain,2026,1675572,https://worldpopulationreview.com/countries/bahrain
Bangladesh,bangladesh,bangladesh,2024,173809124,https://worldpopulationreview.com/countries/bangladesh
Bangladesh,bangladesh,bangladesh,2025,175686899,https://worldpopulationreview.com/countries/bangladesh
Bangladesh,bangladesh,bangladesh,2026,177818044,https://worldpopulationreview.com/countries/bangladesh
Barbados,barbados,barbados,2024,282438,https://worldpopulationreview.com/countries/barbados
Barbados,barbados,barbados,2025,282623,https://worldpopulationreview.com/countries/barbados
Barbados,barbados,barbados,2026,282724,https://worldpopulationreview.com/countries/barbados
Belarus,belarus,belarus,2024,9068271,https://worldpopulationreview.com/countries/belarus
Belarus,belarus,belarus,2025,8997603,https://worldpopulationreview.com/countries/belarus
Belarus,belarus,belarus,2026,8937018,https://worldpopulationreview.com/countries/belarus
Belgium,belgium,belgium,2024,11714904,https://worldpopulationreview.com/countries/belgium
Belgium,belgium,belgium,2025,11758603,https://worldpopulationreview.com/countries/belgium
Belgium,belgium,belgium,2026,11774642,https://worldpopulationreview.com/countries/belgium
Belize,belize,belize,2024,416502,https://worldpopulationreview.com/countries/belize
Belize,belize,belize,2025,422924,https://worldpopulationreview.com/countries/belize
Belize,belize,belize,2026,428644,https://worldpopulationreview.com/countries/belize
Benin,benin,benin,2024,14465602,https://worldpopulationreview.com/countries/benin
Benin,benin,benin,2025,14814460,https://worldpopulationreview.com/countries/benin
Benin,benin,benin,2026,15170419,https://worldpopulationreview.com/countries/benin
Bermuda,bermuda,bermuda,2024,64520,https://worldpopulationreview.com/countries/bermuda
Bermuda,bermuda,bermuda,2025,64555,https://worldpopulationreview.com/countries/bermuda
Bermuda,bermuda,bermuda,2026,64459,https://worldpopulationreview.com/countries/bermuda
Bhutan,bhutan,bhutan,2024,791347,https://worldpopulationreview.com/countries/bhutan
Bhutan,bhutan,bhutan,2025,796682,https://worldpopulationreview.com/countries/bhutan
Bhutan,bhutan,bhutan,2026,802214,https://worldpopulationreview.com/countries/bhutan
Bolivia,bolivia,bolivia,2024,12428734,https://worldpopulationreview.com/countries/bolivia
Bolivia,bolivia,bolivia,2025,12581843,https://worldpopulationreview.com/countries/bolivia
Bolivia,bolivia,bolivia,2026,12749291,https://worldpopulationreview.com/countries/bolivia
Bosnia And Herzegovina,bosnia-and-herzegovina,bosnia-and-herzegovina,2024,3171946,https://worldpopulationreview.com/countries/bosnia-and-herzegovina
Bosnia And Herzegovina,bosnia-and-herzegovina,bosnia-and-herzegovina,2025,3140095,https://worldpopulationreview.com/countries/bosnia-and-herzegovina
Bosnia And Herzegovina,bosnia-and-herzegovina,bosnia-and-herzegovina,2026,3114242,https://worldpopulationreview.com/countries/bosnia-and-herzegovina
Botswana,botswana,botswana,2024,2522876,https://worldpopulationreview.com/countries/botswana
